	dataset_0	dataset_1	dataset_2	dataset_3	dataset_4	window_size
0	0.5908667287977633	0.5451582867783985	0.5614811364694923	0.570363466915191	0.5541579315164221	3
1	0.6197576887232059	0.5782122905027933	0.5982766651141127	0.6036812674743709	0.5870020964360587	5
2	0.6337371854613234	0.6005586592178771	0.6085235211923614	0.6164958061509785	0.6037735849056604	7
3	0.6407269338303822	0.6038175046554934	0.6034000931532371	0.6162628145386766	0.6063358956440718	9
4	0.6432898415657037	0.6021880819366853	0.6017699115044248	0.6090400745573159	0.6068017703237829	11
5	0.6491146318732526	0.6070763500931099	0.6020027945971123	0.6076421248835042	0.6044723969252271	13
6	0.6507455731593662	0.6042830540037244	0.5936190032603633	0.6076421248835042	0.6009783368273934	15
7	0.652143522833178	0.6038175046554934	0.5889613414066138	0.6074091332712023	0.5981830887491265	17
8	0.6481826654240447	0.5977653631284916	0.5887284583139264	0.6043802423112767	0.5930584672723037	19
9	0.6425908667287977	0.5945065176908753	0.5803446669771775	0.603215284249767	0.5870020964360587	21
10	0.635834109972041	0.5884543761638734	0.5782487191429903	0.598089468779124	0.5804798509201025	23
